# Nomenclature CCAM consolidée à partir de trois sources officielles : (1) chapitres 1 à 19 de la CCAM descriptive publiés par l'ATIH (https://www.atih.sante.fr/sites/default/files/public/content/1621/Chapitre_N.pdf) ; (2) jeu de données « CCAM Ameli » (data.gouv.fr / InterHop : actes tarifés en libéral) ; (3) libellés abrégés des listes d'actes du Manuel des GHM 2025. Union des actes : un acte absent d'une source reste présent si une autre le porte.
# Extraites le 2026-09-24 par scripts/extraire-referentiel-atih.py : données officielles reprises telles quelles.
# Les libellés sont repris verbatim de la source indiquée (source_libelle) : la casse diffère donc selon la source.
# chapitre_ccam : 1 à 19 ; 18 = gestes complémentaires et d'anesthésie, 19 = adaptations pour la CCAM transitoire (forfaits).
code;libelle;source_libelle;chapitre_ccam;dans_ameli;dans_atih;dans_annexe8
ACFA007;Exérèse de tumeur de l'angle pontocérébelleux et/ou du méat acoustique interne [conduit auditif interne], par abord translabyrinthique;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ACFA008;Exérèse de tumeur extraparenchymateuse de la convexité du cervelet sans atteinte de sinus veineux dural, par craniotomie;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ACFA009;Exérèse de tumeur de la pointe du rocher, par abord suprapétreux;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ACFA010;exérèse de tumeur de l'angle pontocérébelleux et/ou du méat acoustique interne [conduit auditif interne], par abord infraoccipital rétrosigmoïdien;CCAM Ameli (data.gouv.fr);1;oui;oui;oui
ACFA011;Exérèse de tumeur de l'étage moyen de la base du crâne, par craniotomie;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ACFA012;Exérèse de tumeur de l'angle pontocérébelleux et/ou du méat acoustique interne [conduit auditif interne], par abord suprapétreux;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ACFA013;exérèse de tumeur du tiers interne de l'étage moyen de la base du crâne intéressant l'angle sphénoorbitaire, par craniotomie;CCAM Ameli (data.gouv.fr);1;oui;oui;oui
ACFA014;Exérèse de tumeur de l'angle pontocérébelleux et/ou du méat acoustique interne [conduit auditif interne], par deux abords;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ACFA015;Exérèse de tumeur de l'étage antérieur de la base du crâne, par craniotomie frontale bilatérale;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ACFA016;Exérèse de tumeur de la région pétroclivale sans déroutement du nerf facial, par abord transpétreux;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ACFA018;Exérèse de tumeur extraparenchymateuse de la convexité du cervelet envahissant un sinus veineux dural, par craniotomie;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ACFA019;Exérèse de tumeur du foramen magnum avec déroutement de l'artère vertébrale, par craniotomie;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ACFA020;Exérèse de tumeur du clivus, par abord transoral ou nasosphénoïdal;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ACFA022;exérèse de tumeur de la région optochiasmatique et/ou hypothalamique, par craniotomie;CCAM Ameli (data.gouv.fr);1;oui;oui;oui
ACFA023;Exérèse de tumeur du foramen jugulaire, par craniotomie;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ACFA024;Exérèse de tumeur du foramen magnum sans déroutement de l'artère vertébrale, par craniotomie;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ACFA025;Exérèse de tumeur de la région pétroclivale avec déroutement du nerf facial, par abord transpétreux;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ACFA026;Exérèse de tumeur de l'étage antérieur de la base du crâne, par craniotomie frontale bilatérale et abord ethmoïdal;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ACFA027;Exérèse de tumeur de l'angle pontocérébelleux et/ou du méat acoustique interne [conduit auditif interne], par abord transotique;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ACFA028;Exérèse de tumeur extraparenchymateuse de la convexité du cerveau envahissant un sinus veineux dural, par craniotomie;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ACFA029;Exérèse de tumeur de la pointe du rocher avec déroutement du nerf facial, par abord transpétreux;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ACHA001;Biopsie de lésion de la base du crâne, par abord transoral ou nasosphénoïdal;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ACHA002;biopsie de lésion intracrânienne, par craniotomie;CCAM Ameli (data.gouv.fr);1;oui;oui;oui
ACHA003;Biopsie de lésion de la base du crâne, par endoscopie buccale ou nasale;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ACHB001;biopsie de lésion intracrânienne, par voie transcrânienne stéréotaxique;CCAM Ameli (data.gouv.fr);1;oui;oui;oui
ACHH001;Ponction ou cytoponction de lésion intracrânienne, par voie transcutanée avec guidage scanographique;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ACHJ001;Ponction ou cytoponction de lésion intracrânienne, par voie transcutanée avec guidage remnographique [IRM];CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ACPA001;Libération d'un conflit vasculonerveux intracrânien, par craniotomie;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
