# Fichiers officiels ATIH — Manuel des GHM, version 2025 : annexe 8 (actes classants), annexe 11 (actes mineurs reclassant en GHM médical) et volume 2 par CMD (listes d'actes rattachées aux racines). Source : https://www.atih.sante.fr/manuel-des-ghm-2025-publication-bo
# Extraites le 2026-09-24 par scripts/extraire-referentiel-atih.py : données officielles reprises telles quelles.
# Une ligne par acte classant. racines_ghm = racines dans lesquelles l'acte est classant (volume 2) ; cmds_classantes = CMD de l'annexe 8.
# libelle_ghm = libellé abrégé employé par le manuel (les libellés complets relèvent de la CCAM, voir data/ccam-complete-2025.csv).
code_ccam;racines_ghm;cmds_classantes;reclassant_ghm_medical;libelle_ghm
ADFA006;01C08 17C07 21C05;01 17 21;non;EXÉRÈSE LÉS. NF FACIAL EXTRAPÉTREUX +RÉPAR.
ADGA001;01C08 21C05;01 21;non;ABLATION 1 GENERATEUR STIMUL NF VAGUE AB. DIRECT
ADGA144;01C10 17C07 21C05;;non;ABLAT/CHANGMT ÉLECTRODE DÉTECTION RESPI SYSTÈME
ADGA286;01C10 17C07 21C05;;non;ABLAT / CHANGEMENT ÉLECTRODE STIMULATION NERF
ADGA724;01C08 17C07 21C05;;non;ABLATION D'UN SYSTÈME DE STIMULATION DU NERF
ADKA001;01C10 17C07 21C05;01 17 21;non;CHANGT 1 GENERATEUR STIMUL NF VAGUE AB. DIRECT
ADKA665;01C10 17C07 21C05;;non;ABLAT / CHANGEMENT GÉNÉRATEUR STIMULATION NERF
ADLA001;01C10 17C07;01 17;non;IMPLANT 1 STIMUL NF VAGUE AB. DIRECT
ADLA187;01C10 17C07;;non;IMPLANTATION D'UN SYSTÈME DE STIMULATION DU NERF
ADLB001;01K05;01;non;INFILTR. THÉRAP. BRANCHE TERM. NF TRIJUMEAU
ADPA001;01C03 01C04 01C11 01C12 08C21 17C06 21C05;01 08 17 21;non;DÉCOMPR. NF OPTIQUE CRANIOT.
ADPA002;06C05 06C16 06C20 06C22 17C06;06 17;non;VAGOTOMIE TRONCULAIRE POST. +SÉROMYOTOMIE
ADPA003;01C08 03C16 03C17 03C29 08C21 21C05;01 03 08 21;non;SECTION 1BRANCHE EXTRACRÂN. NF TRIJUMEAU AB.
ADPA004;01C08 03C17 08C21 21C05;01 03 08 21;non;DÉCOMPR. NF ALV. INF. AB. BUCC.
ADPA005;01C03 01C04 01C11 01C12 03C16 03C17 03C29 17C06;01 03 17;non;NEUROTOMIE VESTIB. AB. LABYRINTH.
ADPA007;01C03 01C04 01C11 01C12 03C16 03C17 03C29 17C06;01 03 17;non;NEUROTOMIE VESTIB. AB. SUPRAPÉTREUX
ADPA008;01C08 17C07 21C05;01 17 21;non;DÉCOMPR. NF FACIAL AB. TRANSMASTOÏDIEN
ADPA009;01C03 01C04 01C11 01C12 03C16 03C17 03C29 17C07;01 03 17;non;SECTION DES NF PÉTREUX AB. SUPRAPÉTREUX
ADPA010;01C03 01C04 01C11 01C12 03C16 03C17 03C29 17C06;01 03 17;non;NEUROTOMIE VESTIB. AB. RÉTROLABYRINTHIQUE
ADPA011;01C03 01C04 01C11 01C12 17C06 21C05;01 17 21;non;DÉCOMPR. NF FACIAL AB. SUPRAPÉTREUX
ADPA012;01C03 01C04 01C11 01C12 03C16 03C17 03C29;01 03;non;SECTION NF AMPULLAIRE POST.
ADPA013;01C03 01C04 01C11 01C12 03C16 03C17 03C29 08C21 17C06 21C05;01 03 08 17 21;non;SECTION NF CRÂNIEN AB. RÉTROSIGM.
ADPA014;06C05 06C16 06C20 06C22;06;non;VAGOTOMIE TRONCULAIRE THOR.TOMIE
ADPA015;01C08 03C16 03C17 03C29 08C21 21C05;01 03 08 21;non;SECTION NF CANAL PTÉRYGOÏDIEN
ADPA016;01C08 03C16 03C17 03C29 08C21 21C05;01 03 08 21;non;DÉCOMPR. NF INFRAORBITAIRE AB. DIRECT
ADPA017;01C03 01C04 01C11 01C12 03C16 03C17 03C29;01 03;non;SECTION NF TYMPAN. DS CAISSE TYMPAN
ADPA018;06C05 06C16 06C20 06C22 17C06;06 17;non;VAGOTOMIE TRONCULAIRE +GASTR.JÉJ.STOM LAPARO
ADPA019;06C05 06C16 06C20 06C22 17C06;06 17;non;VAGOTOMIE SUP.SÉLECT LAPARO
ADPA020;01C08 08C21 21C05;01 08 21;non;DÉCOMPR. NF OPTIQUE AB. ORBITAIRE
ADPA021;01C08 17C07 21C05;01 17 21;non;DÉCOMPR. NF FACIAL AB. TRANSMASTOÏDIEN +AB.
ADPA022;06C05 06C16 06C20 06C22 17C06;06 17;non;VAGOTOMIE TRONCULAIRE LAPARO
ADPA023;01C08 08C21 17C07 21C05;01 08 17 21;non;DÉCOMPR. NF OPTIQUE AB TRANSÉTHMOÏDAL
ADPA024;06C05 06C16 06C20 06C22 17C06;06 17;non;VAGOTOMIE TRONCULAIRE +ANTRECTOMIE GASTR.
ADPC001;06C05 06C16 06C20 06C22 17C06;06 17;non;VAGOTOMIE TRONCULAIRE COELIO.
ADPC002;06C05 06C16 06C20 06C22 17C06;06 17;non;VAGOTOMIE SUP.SÉLECT COELIO.
ADPC003;06C05 06C16 06C20 06C22 17C07;06 17;non;VAGOTOMIE TRONCULAIRE POST. +SÉROMYOTOMIE
